ORGANISMO_DE_CUENCA,ESTADO,MUNICIPIO,ACUIFERO,SUBTIPO,LONGITUD,LATITUD,ALC_mg/L,CALIDAD_ALC,CONDUCT_mS/cm,CALIDAD_CONDUC,SDT_M_mg/L,CALIDAD_SDT_ra,CALIDAD_SDT_salin,FLUORUROS_mg/L,CALIDAD_FLUO,DUR_mg/L,CALIDAD_DUR,COLI_FEC_NMP/100_mL,CALIDAD_COLI_FEC,N_NO3_mg/L,CALIDAD_N_NO3,AS_TOT_mg/L,CALIDAD_AS,CD_TOT_mg/L,CALIDAD_CD,CR_TOT_mg/L,CALIDAD_CR,HG_TOT_mg/L,CALIDAD_HG,PB_TOT_mg/L,CALIDAD_PB,MN_TOT_mg/L,CALIDAD_MN,FE_TOT_mg/L,CALIDAD_FE,SEMAFORO,CONTAMINANTES,CUMPLE_CON_ALC,CUMPLE_CON_COND,CUMPLE_CON_SDT_ra,CUMPLE_CON_SDT_salin,CUMPLE_CON_FLUO,CUMPLE_CON_DUR,CUMPLE_CON_CF,CUMPLE_CON_NO3,CUMPLE_CON_AS,CUMPLE_CON_CD,CUMPLE_CON_CR,CUMPLE_CON_HG,CUMPLE_CON_PB,CUMPLE_CON_MN,CUMPLE_CON_FE
10,2,197,121,5,-109.95892,23.97374,-1.134825684616555,3,3.245414144599592,3,0.8791142727161207,2,3,-0.42217389759137514,1,1.102540019510968,0,-0.16840899152906713,1,-0.4154638722057185,2,0.17424025941399063,1,-0.03321868948261033,1,-0.0536259759531187,1,-0.10149404413675939,1,-0.08656199744644805,1,-0.18647693817511413,0,-0.05950582030506259,0,Rojo,65,2,1,1,1,1.0,1,1.0,2,0.0,1.0,1.0,1.0,1.0,1.0,1.0
10,2,197,121,5,-110.0611,23.80554,0.0457223968825603,0,0.18673179067337084,4,-0.030517910629391336,1,1,-0.3447579922990148,2,0.18907279851848893,1,0.2444604661223902,0,-0.4924452817160934,2,2.647753331439305,1,-0.03321868948261033,1,-0.0536259759531187,1,-0.1229118744347359,1,-0.08656199744644805,1,-0.18541405864952554,0,-0.0683399015509369,0,Rojo,29,2,2,2,2,1.0,2,1.0,2,0.0,1.0,1.0,1.0,1.0,1.0,1.0
10,2,197,66,5,-110.11185,23.74221,1.2397345237685247,0,0.3212236161356349,4,0.037975638584670166,1,1,-0.37657702120359815,1,0.5007849896104951,0,1.8281828603485824,2,-0.4125962595296878,2,-0.2732936967537141,2,-0.03321868948261033,1,-0.0536259759531187,1,-0.1229118744347359,1,10.642497071524524,0,0.005372816193628453,0,0.16541097215124662,1,Rojo,92,2,2,2,2,1.0,1,0.0,2,1.0,1.0,1.0,1.0,0.0,1.0,0.0
10,2,87,209,5,-111.72009,25.13549,-0.26407928439127043,0,-0.1684232693796738,4,-0.13931176129502268,1,1,-0.3452259191946705,2,-0.4469060496710666,1,-0.17274728925409422,4,0.5885199609735328,1,-0.2732936967537141,2,-0.03321868948261033,1,-0.0536259759531187,1,-0.1229118744347359,1,-0.08656199744644805,1,-0.18860269722629133,0,-0.06962255956414155,0,Verde,42,2,2,2,2,1.0,2,1.0,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,2,87,209,5,-111.8038,25.2401,0.07397974054476866,0,0.3671280116526951,4,-0.03862165830359295,1,1,-0.2433218396963318,2,-0.4136456476454761,1,-0.17274728925409422,4,-0.14051260156490852,2,-0.2732936967537141,2,-0.03321868948261033,1,-0.018633519477980424,1,-0.1229118744347359,1,-0.08656199744644805,1,-0.18860269722629133,0,-0.06962255956414155,0,Verde,42,2,2,2,2,1.0,2,1.0,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,2,87,209,5,-111.92221,25.5047,0.14074253884834712,0,9.416736650691385,3,3.132874747650924,4,3,-0.34387413038499864,2,8.566662899263958,0,-0.17274728925409422,4,0.6310390444542983,1,-0.2732936967537141,2,-0.03321868948261033,1,-0.0536259759531187,1,-0.1229118744347359,1,-0.08656199744644805,1,-0.17186234469827086,0,-0.052189249948050125,0,Amarillo,64,2,1,1,1,1.0,1,1.0,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,2,197,121,5,-109.964667,23.96966,-0.89684653844773,3,-0.2594267201415651,4,-0.2247891995266604,3,1,-0.2870990003787814,2,-0.8074368971096699,3,-0.04410944996930134,0,-0.42874203792314747,2,2.9773656420136145,1,-0.03321868948261033,1,-0.04001779843500937,1,-0.1229118744347359,1,-0.08656199744644805,1,-0.18860269722629133,0,-0.06962255956414155,0,Rojo,29,2,0,2,2,1.0,2,1.0,2,0.0,1.0,1.0,1.0,1.0,1.0,1.0
10,2,205,199,5,-111.4857,26.2279,0.12093238289699626,0,0.01277829187187958,4,-0.07914032388655723,1,1,-0.42596930463391536,1,-0.2960365098805567,1,-0.16840899152906713,1,0.49497262805300407,1,-0.2732936967537141,2,-0.03321868948261033,1,-0.0536259759531187,1,-0.1229118744347359,1,-0.08656199744644805,1,-0.17903678149599392,0,-0.06394995933672942,0,Verde,42,2,2,2,2,1.0,2,1.0,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,2,205,199,5,-111.50755,26.24466,-0.12322135733458743,0,1.5807758019019882,3,0.2095370578169157,0,0,-0.0929093386816922,3,0.01239917540949754,1,0.08067754077305175,0,0.1631058004390484,1,0.8206781961006754,1,-0.03321868948261033,1,-0.04260983224798257,1,-0.1229118744347359,1,-0.08656199744644805,1,-0.1341301215398755,0,0.06156986989912891,1,Rojo,44,2,1,2,2,1.0,2,1.0,2,0.0,1.0,1.0,1.0,1.0,1.0,0.0
10,2,205,199,5,-111.54894,26.30176,-0.2546887559208247,0,0.9872400212691222,1,0.09555098122900883,0,0,-0.374289378602615,1,0.039938075881823853,1,-0.17274728925409422,4,0.2641768835443362,1,-0.2732936967537141,2,-0.03321868948261033,1,-0.0536259759531187,1,-0.1229118744347359,1,-0.08656199744644805,1,-0.1859454984123198,0,-0.06539520780231213,0,Amarillo,43,2,1,2,2,1.0,2,1.0,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
